Company;Alpha;h*
ABRD;0.990000;0.228000
AESL;0.490000;0.009000
AFKC;0.990000;0.297000
AFKS;0.990000;0.297000
AFLT;0.990000;0.006000
AGRE;0.540000;0.003000
AGRO;0.640000;0.123000
AKHA;0.870000;0.297000
AKRN;0.990000;0.297000
ALBK;0.350000;0.147000
ALNU;0.800000;0.000000
ALRS;0.990000;0.297000
AMEZ;0.860000;0.051000
APDS;0.990000;0.243000
APDSP;0.990000;0.000000
APTK;0.990000;0.297000
AQUA;0.680000;0.297000
ARMD;0.990000;0.057000
ARMD-002D;0.190000;0.003000
ARSA;0.990000;0.297000
ARSB;0.550000;0.006000
ARSBP;0.450000;0.015000
ASSB;0.520000;0.012000
AVAN;0.340000;0.297000
AVAZ;0.990000;0.003000
AVAZP;0.800000;0.183000
AVAZPP;0.990000;0.297000
AZKM;0.990000;0.000000
BACT;0.990000;0.297000
BANE;0.990000;0.000000
BANE-001D;0.930000;0.258000
BANE-002D;0.990000;0.045000
BANE-004D;0.990000;0.078000
BANE-005D;0.660000;0.297000
BANEP;0.990000;0.054000
BANEP-001D;0.940000;0.015000
BANEP-002D;0.930000;0.015000
BANEP-004D;0.880000;0.297000
BANEP-005D;0.880000;0.072000
BEGY;0.770000;0.297000
BEGYP;0.930000;0.297000
BELO;0.990000;0.297000
BENR;0.710000;0.291000
BENRP;0.860000;0.204000
BGDE;0.950000;0.009000
BISV;0.610000;0.072000
BISVP;0.380000;0.003000
BLNG;0.990000;0.297000
BNSB;0.810000;0.252000
BNSBP;0.510000;0.015000
BRZL;0.570000;0.021000
BSPB;0.990000;0.297000
BSPBP;0.870000;0.297000
BUSB;0.660000;0.021000
CBOM;0.990000;0.126000
CHEP;0.730000;0.021000
CHGZ;0.610000;0.297000
CHKZ;0.820000;0.000000
CHMF;0.990000;0.297000
CHMK;0.990000;0.297000
CHSB;0.570000;0.009000
CHSBP;0.930000;0.024000
CHZN;0.950000;0.081000
CLSB;0.570000;0.027000
CLSBP;0.540000;0.024000
CMST;0.600000;0.066000
CNTL;0.890000;0.297000
CNTLP;0.720000;0.297000
CTLK;0.970000;0.297000
CTLKP;0.990000;0.297000
DALM;0.990000;0.000000
DASB;0.990000;0.051000
DGBZ;0.790000;0.009000
DGBZP;0.880000;0.009000
DIKO;0.990000;0.003000
DIOD;0.740000;0.219000
DIXY;0.940000;0.036000
DIXY-002D;0.390000;0.138000
DLSV;0.990000;0.297000
DLSVP;0.970000;0.297000
DLVB;0.530000;0.084000
DNKOP;0.990000;0.297000
DVEC;0.690000;0.003000
DZRD;0.720000;0.297000
DZRDP;0.770000;0.105000
ELTZ;0.710000;0.000000
ENRU;0.960000;0.003000
EONR;0.990000;0.204000
EPLN;0.990000;0.297000
EPLN-002D;0.740000;0.033000
ERAV;0.990000;0.003000
ERCO;0.670000;0.096000
ERCO02;0.010000;0.003000
ERCO04;0.560000;0.297000
ERMK;0.860000;0.192000
ETGK;0.910000;0.003000
EVCO;0.990000;0.297000
FCIN;0.990000;0.228000
FEES;0.990000;0.024000
FESH;0.790000;0.297000
FLKO;0.850000;0.297000
FORTP;0.480000;0.060000
FTRE;0.910000;0.105000
GAZA;0.510000;0.237000
GAZAP;0.370000;0.108000
GAZC;0.990000;0.123000
GAZC-002D;0.990000;0.024000
GAZP;0.990000;0.240000
GAZS;0.990000;0.192000
GAZS-002D;0.990000;0.297000
GAZT;0.990000;0.297000
GCHE;0.990000;0.048000
GMKN;0.990000;0.000000
GRAZ;0.990000;0.297000
GRNT;0.990000;0.297000
GTLC;0.990000;0.063000
GTPR;0.990000;0.291000
GUMM;0.330000;0.297000
HALS;0.990000;0.297000
HIMC;0.510000;0.003000
HIMCP;0.660000;0.219000
HMBO;0.010000;0.003000
HYDR;0.990000;0.021000
